"","ORIGEN","AÑO_N","MES_N","AÑO","TRIMESTRES","TOTAL_KILOS_BRUTOS","TOTAL_KILOS_NETOS","I_DOLARES","I_PESOS"
"174","20",2005,7,5,3,1549532786,1549528786,89070322.703125,206579391328
"175","23",2005,7,5,3,12583778.9500732,12572984.3400497,71690082.6509094,166590810168.406
"176","25",2005,7,5,3,165143670.424206,161380628.045556,137896406.599908,320197165336.282
"177","27",2005,7,5,3,5711000,5279392,2768409,6452386304
"178","41",2005,7,5,3,3740385.24850464,3717401.72993469,9943077.43566895,23097079019.5
"179","44",2005,7,5,3,102031816.270151,102014273,5960220.82226562,13842857624.875
"180","47",2005,7,5,3,47697319.2589836,44899567.3355255,18066257.3708687,41934732056.5557
"181","50",2005,7,5,3,3177,1498,45671.6901245117,106047101.28125
"182","52",2005,7,5,3,10447792.0090942,10404101.8016357,11235776.2387695,26117386288
"183","54",2005,7,5,3,148872118.09122,148721124.958148,11395263.6809843,26505072157.1694
"184","63",2005,7,5,3,2895106.01646709,2856983.68992901,9000347.17248535,20900450079.2754
"185","66",2005,7,5,3,12331265.3591271,12037632.1916491,26205716.2257376,60882013396.027
"186","68",2005,7,5,3,6133190.24468988,6003264.85748088,20056940.1275557,46627154721.9138
"187","70",2005,7,5,3,26022663,25909057.125,3369675.1171875,7837381570
"188","73",2005,7,5,3,4557031.5881086,4478307.30034119,13564302.4156303,31477432114.875
"189","76",2005,7,5,3,145072449.952422,140978746.978518,132400367.257064,307542460574.03
"190","81",2005,7,5,3,772180.000000954,772161.98999989,1581517.48999023,3679255975.82812
"191","86",2005,7,5,3,441,370,3641.1298828125,8470880.25
"192","88",2005,7,5,3,6797.20011901855,6646.93011856079,31569.5398406982,73093283.40625
"193","91",2005,7,5,3,876.25,814.370008468628,15709.549987793,36510053
"194","94",2005,7,5,3,438.559997558594,370,1028.32995605469,2388892.75
"195","99",2005,7,5,3,423.330001831055,220,6175,14386715
"196","05",2005,8,5,3,149448088.785807,138704212.306685,235040826.147229,542474420547.823
"197","08",2005,8,5,3,102111375.227358,100813743.487257,56505758.7932581,130403230129.91
"198","11",2005,8,5,3,34273458.3614276,32233206.5577607,154772908.08268,357024136136.456
"199","13",2005,8,5,3,157622845.838781,155819850.099805,99368449.8401684,229438992989.701
"200","15",2005,8,5,3,5544214.58158554,5520229.21002096,8146354.95133972,18793684372.248
"201","17",2005,8,5,3,17249403.6650174,16157756.5467043,39498206.4210947,91195734224.1917
"202","19",2005,8,5,3,24141292.9134846,23946071.746645,18814654.2617798,43414481080.8477
"203","20",2005,8,5,3,2068457129,2068440529,115740629.476562,266839401232
"204","23",2005,8,5,3,10330282.0500002,10321900.5900002,49802326.5640621,114756596445.949
"205","25",2005,8,5,3,186357993.156932,182312002.442198,157577620.558075,363326512741.696
"206","41",2005,8,5,3,7503689.7950573,7454607.07998657,19217150.9134521,44331154996.8906
"207","44",2005,8,5,3,1133459798.21999,1133446584.75003,53030290.625,122399028913
"208","47",2005,8,5,3,42761450.4149618,40002824.8914394,14859832.5883408,34389059053.1094
"209","50",2005,8,5,3,16992.0503921509,15925.0501022339,184193.000305176,424900015.53125
"210","52",2005,8,5,3,12092634.7201385,12067685.2497406,8793498.64156342,20285078026.2344
"211","54",2005,8,5,3,154752311.568454,151567116.559561,11644192.1431921,26880262679.873
"212","63",2005,8,5,3,4394009.69031525,4352113.01676559,12502132.6647043,28819141152.5234
"213","66",2005,8,5,3,14864186.4989117,14567935.8785421,25249139.2744539,58223102657.7338
"214","68",2005,8,5,3,7026279.16523945,6916225.32587045,15220576.2752484,35113191018.0867
"215","70",2005,8,5,3,41792420.1998901,41636277.7376862,4816106.09765625,11103129823
"216","73",2005,8,5,3,5226900.17175576,5154298.47003719,14208161.308609,32766797568.1406
"217","76",2005,8,5,3,135190539.63811,131233661.853155,145792420.522956,336096659312.398
"218","81",2005,8,5,3,341207.079986572,341000.279998779,616360.960449219,1428623727
"219","86",2005,8,5,3,300,286,1778.29998779297,4097756
"220","88",2005,8,5,3,27428.8402343765,24165.1602832023,744806.25,1716101416
"221","91",2005,8,5,3,1889.85000549257,1733.99994671345,36547.309009552,84268807.109375
"222","94",2005,8,5,3,54.9300003051758,52.9500007629395,435.799987792969,1004540.8125
"223","97",2005,8,5,3,206.279998779297,171.199996948242,1925.03002929688,4443701
"224","05",2005,9,5,3,201635947.789518,187008124.04039,249051130.545823,572352133873.359
"225","08",2005,9,5,3,185976991.938773,184448405.450282,69837570.8362741,160499491508.662
"226","11",2005,9,5,3,36960803.1911885,34952668.6637023,160101099.281329,367395756814.085
"227","13",2005,9,5,3,209392442.081858,207752124.152765,89658712.1042974,205578619242.119
"228","15",2005,9,5,3,13580107.2095037,13567969.9201314,11974146.9619961,27475066125.252
"229","17",2005,9,5,3,15724721.5729342,14716540.3884688,35828523.0538318,82405523773.8381
"230","18",2005,9,5,3,8334.1000585556,7732.89984703064,58178.80078125,133896210.326172
"231","19",2005,9,5,3,29071709.0906162,28888421.3986063,17334241.148809,39790102755.1526
"232","20",2005,9,5,3,1956253237,1955602263.75,118598910.25,271994729144.312
"233","23",2005,9,5,3,12600058.0699992,12590825.6999998,65236186.4006844,149716167478.938
